Symbol,Date,Open,High,Low,Close,Direction,Atr,IndicatorName,IndicatorSetting,IndicatorDirection,IndicatorSignal,
CHFJPY,2020-03-23 00:00:00,112.434,113.555,111.493,112.873,1,1.714,Ema,9,1,0,
CHFJPY,2020-03-20 00:00:00,112.237,113.134,111.834,112.463,1,1.673,Ema,9,1,0,
CHFJPY,2020-03-19 00:00:00,111.550,113.004,111.357,112.231,1,1.699,Ema,9,1,1,
CHFJPY,2020-03-18 00:00:00,111.964,112.157,110.947,111.550,-1,1.719,Ema,9,-1,1,
CHFJPY,2020-03-17 00:00:00,111.652,112.852,111.102,111.964,1,1.679,Ema,9,1,1,
CHFJPY,2020-03-16 00:00:00,112.190,113.272,111.104,111.652,-1,1.606,Ema,9,-1,1,
CHFJPY,2020-03-13 00:00:00,110.788,113.765,110.533,113.072,1,1.499,Ema,9,1,1,
CHFJPY,2020-03-12 00:00:00,111.308,111.825,110.251,110.788,-1,1.354,Ema,9,-1,0,
CHFJPY,2020-03-11 00:00:00,112.325,112.520,111.158,111.308,-1,1.301,Ema,9,-1,1,
CHFJPY,2020-03-10 00:00:00,110.563,112.554,110.125,112.325,1,1.295,Ema,9,1,1,
CHFJPY,2020-03-09 00:00:00,111.668,112.248,109.513,110.563,-1,1.240,Ema,9,-1,0,
CHFJPY,2020-03-06 00:00:00,112.112,112.846,111.936,112.246,1,1.072,Ema,9,-1,0,
CHFJPY,2020-03-05 00:00:00,112.344,112.603,111.929,112.209,-1,1.035,Ema,9,-1,0,
CHFJPY,2020-03-04 00:00:00,111.900,112.776,111.833,112.310,1,1.019,Ema,9,-1,0,
CHFJPY,2020-03-03 00:00:00,112.803,113.236,111.745,111.898,-1,0.987,Ema,9,-1,1,
CHFJPY,2020-03-02 00:00:00,111.414,112.966,111.309,112.794,1,0.914,Ema,9,1,1,
CHFJPY,2020-02-28 00:00:00,113.206,113.241,111.309,111.803,-1,0.827,Ema,9,-1,1,
CHFJPY,2020-02-27 00:00:00,112.984,113.551,112.902,113.207,1,0.705,Ema,9,1,0,
CHFJPY,2020-02-26 00:00:00,112.843,113.506,112.785,112.993,1,0.706,Ema,9,1,1,
CHFJPY,2020-02-25 00:00:00,113.023,113.346,112.675,112.862,-1,0.672,Ema,9,-1,1,
CHFJPY,2020-02-24 00:00:00,113.419,114.063,112.857,113.020,-1,0.656,Ema,9,1,0,
CHFJPY,2020-02-21 00:00:00,113.861,114.269,113.435,113.937,1,0.617,Ema,9,1,0,
CHFJPY,2020-02-20 00:00:00,113.111,114.230,112.952,113.879,1,0.585,Ema,9,1,0,
CHFJPY,2020-02-19 00:00:00,111.738,113.354,111.694,113.129,1,0.525,Ema,9,1,1,
CHFJPY,2020-02-18 00:00:00,111.996,112.006,111.619,111.723,-1,0.441,Ema,9,-1,0,
CHFJPY,2020-02-17 00:00:00,111.823,112.069,111.743,111.996,1,0.453,Ema,9,-1,0,
CHFJPY,2020-02-14 00:00:00,112.066,112.146,111.689,111.689,-1,0.456,Ema,9,-1,0,
CHFJPY,2020-02-13 00:00:00,112.499,112.524,112.032,112.093,-1,0.458,Ema,9,-1,1,
CHFJPY,2020-02-12 00:00:00,112.470,112.904,112.434,112.509,1,0.470,Ema,9,1,1,
CHFJPY,2020-02-11 00:00:00,112.273,112.587,112.143,112.484,1,0.493,Ema,9,-1,0,
CHFJPY,2020-02-10 00:00:00,112.183,112.388,112.165,112.297,1,0.497,Ema,9,-1,0,
CHFJPY,2020-02-07 00:00:00,112.766,112.851,112.189,112.189,-1,0.522,Ema,9,-1,1,
CHFJPY,2020-02-06 00:00:00,112.759,112.897,112.650,112.800,1,0.495,Ema,9,1,0,
CHFJPY,2020-02-05 00:00:00,112.953,113.089,112.646,112.792,-1,0.525,Ema,9,1,0,
CHFJPY,2020-02-04 00:00:00,112.448,112.994,112.337,112.949,1,0.529,Ema,9,1,1,
CHFJPY,2020-02-03 00:00:00,112.426,112.666,112.279,112.432,1,0.531,Ema,9,-1,0,
CHFJPY,2020-01-31 00:00:00,112.349,112.695,112.253,112.370,1,0.550,Ema,9,-1,0,
CHFJPY,2020-01-30 00:00:00,111.938,112.383,111.899,112.348,1,0.585,Ema,9,-1,0,
CHFJPY,2020-01-29 00:00:00,112.101,112.278,111.725,111.980,-1,0.578,Ema,9,-1,0,
CHFJPY,2020-01-28 00:00:00,112.242,112.412,111.991,112.134,-1,0.590,Ema,9,-1,0,
CHFJPY,2020-01-27 00:00:00,112.134,112.562,112.077,112.247,1,0.622,Ema,9,-1,0,
CHFJPY,2020-01-24 00:00:00,112.919,113.081,112.426,112.426,-1,0.620,Ema,9,-1,0,
CHFJPY,2020-01-23 00:00:00,113.449,113.491,112.695,112.914,-1,0.655,Ema,9,-1,1,
CHFJPY,2020-01-22 00:00:00,113.296,113.520,113.019,113.442,1,0.662,Ema,9,1,0,
CHFJPY,2020-01-21 00:00:00,113.713,113.885,113.305,113.305,-1,0.692,Ema,9,1,0,
CHFJPY,2020-04-13 00:00:00,112.194,112.376,111.170,111.298,-1,1.061,Ema,10,-1,1,
CHFJPY,2020-04-10 00:00:00,112.185,112.396,111.956,112.162,-1,1.069,Ema,10,1,0,
CHFJPY,2020-04-09 00:00:00,111.887,112.514,111.857,112.194,1,1.185,Ema,10,1,0,
CHFJPY,2020-04-08 00:00:00,112.119,112.400,111.716,111.887,-1,1.231,Ema,10,1,0,
CHFJPY,2020-04-07 00:00:00,111.497,112.470,111.239,112.119,1,1.299,Ema,10,1,1,
CHFJPY,2020-04-06 00:00:00,110.859,111.893,110.786,111.497,1,1.298,Ema,10,-1,0,
CHFJPY,2020-04-03 00:00:00,110.719,111.218,110.612,110.956,1,1.344,Ema,10,-1,0,
CHFJPY,2020-04-02 00:00:00,110.899,111.180,110.290,110.724,-1,1.455,Ema,10,-1,0,
CHFJPY,2020-04-01 00:00:00,111.800,112.146,110.510,110.899,-1,1.623,Ema,10,-1,0,
CHFJPY,2020-03-31 00:00:00,112.351,113.039,111.429,111.800,-1,1.618,Ema,10,-1,0,
CHFJPY,2020-03-30 00:00:00,112.867,113.330,112.302,112.351,-1,1.600,Ema,10,-1,1,
CHFJPY,2020-03-27 00:00:00,113.773,113.894,112.416,113.425,-1,1.694,Ema,10,1,0,
CHFJPY,2020-03-26 00:00:00,113.719,113.932,112.860,113.773,1,1.784,Ema,10,1,0,
CHFJPY,2020-03-25 00:00:00,113.229,113.983,112.868,113.719,1,1.772,Ema,10,1,0,
CHFJPY,2020-03-24 00:00:00,112.873,113.754,112.441,113.229,1,1.740,Ema,10,1,0,
CHFJPY,2020-03-23 00:00:00,112.434,113.555,111.493,112.873,1,1.714,Ema,10,1,0,
CHFJPY,2020-03-20 00:00:00,112.237,113.134,111.834,112.463,1,1.673,Ema,10,1,0,
CHFJPY,2020-03-19 00:00:00,111.550,113.004,111.357,112.231,1,1.699,Ema,10,1,1,
CHFJPY,2020-03-18 00:00:00,111.964,112.157,110.947,111.550,-1,1.719,Ema,10,-1,1,
CHFJPY,2020-03-17 00:00:00,111.652,112.852,111.102,111.964,1,1.679,Ema,10,1,1,
CHFJPY,2020-03-16 00:00:00,112.190,113.272,111.104,111.652,-1,1.606,Ema,10,-1,1,
CHFJPY,2020-03-13 00:00:00,110.788,113.765,110.533,113.072,1,1.499,Ema,10,1,1,
CHFJPY,2020-03-12 00:00:00,111.308,111.825,110.251,110.788,-1,1.354,Ema,10,-1,0,
CHFJPY,2020-03-11 00:00:00,112.325,112.520,111.158,111.308,-1,1.301,Ema,10,-1,1,
CHFJPY,2020-03-10 00:00:00,110.563,112.554,110.125,112.325,1,1.295,Ema,10,1,1,
CHFJPY,2020-03-09 00:00:00,111.668,112.248,109.513,110.563,-1,1.240,Ema,10,-1,0,
CHFJPY,2020-03-06 00:00:00,112.112,112.846,111.936,112.246,1,1.072,Ema,10,-1,0,
CHFJPY,2020-03-05 00:00:00,112.344,112.603,111.929,112.209,-1,1.035,Ema,10,-1,0,
CHFJPY,2020-03-04 00:00:00,111.900,112.776,111.833,112.310,1,1.019,Ema,10,-1,0,
CHFJPY,2020-03-03 00:00:00,112.803,113.236,111.745,111.898,-1,0.987,Ema,10,-1,1,
CHFJPY,2020-03-02 00:00:00,111.414,112.966,111.309,112.794,1,0.914,Ema,10,1,1,
CHFJPY,2020-02-28 00:00:00,113.206,113.241,111.309,111.803,-1,0.827,Ema,10,-1,1,
CHFJPY,2020-02-27 00:00:00,112.984,113.551,112.902,113.207,1,0.705,Ema,10,1,0,
CHFJPY,2020-02-26 00:00:00,112.843,113.506,112.785,112.993,1,0.706,Ema,10,1,1,
CHFJPY,2020-02-25 00:00:00,113.023,113.346,112.675,112.862,-1,0.672,Ema,10,-1,1,
CHFJPY,2020-02-24 00:00:00,113.419,114.063,112.857,113.020,-1,0.656,Ema,10,1,0,
CHFJPY,2020-02-21 00:00:00,113.861,114.269,113.435,113.937,1,0.617,Ema,10,1,0,
CHFJPY,2020-02-20 00:00:00,113.111,114.230,112.952,113.879,1,0.585,Ema,10,1,0,
CHFJPY,2020-02-19 00:00:00,111.738,113.354,111.694,113.129,1,0.525,Ema,10,1,1,
CHFJPY,2020-02-18 00:00:00,111.996,112.006,111.619,111.723,-1,0.441,Ema,10,-1,0,
CHFJPY,2020-02-17 00:00:00,111.823,112.069,111.743,111.996,1,0.453,Ema,10,-1,0,
CHFJPY,2020-02-14 00:00:00,112.066,112.146,111.689,111.689,-1,0.456,Ema,10,-1,0,
CHFJPY,2020-02-13 00:00:00,112.499,112.524,112.032,112.093,-1,0.458,Ema,10,-1,0,
CHFJPY,2020-02-12 00:00:00,112.470,112.904,112.434,112.509,1,0.470,Ema,10,-1,0,
CHFJPY,2020-02-11 00:00:00,112.273,112.587,112.143,112.484,1,0.493,Ema,10,-1,0,
CHFJPY,2020-02-10 00:00:00,112.183,112.388,112.165,112.297,1,0.497,Ema,10,-1,0,
CHFJPY,2020-02-07 00:00:00,112.766,112.851,112.189,112.189,-1,0.522,Ema,10,-1,1,
CHFJPY,2020-02-06 00:00:00,112.759,112.897,112.650,112.800,1,0.495,Ema,10,1,0,
CHFJPY,2020-02-05 00:00:00,112.953,113.089,112.646,112.792,-1,0.525,Ema,10,1,0,
CHFJPY,2020-02-04 00:00:00,112.448,112.994,112.337,112.949,1,0.529,Ema,10,1,1,
CHFJPY,2020-02-03 00:00:00,112.426,112.666,112.279,112.432,1,0.531,Ema,10,-1,0,
CHFJPY,2020-01-31 00:00:00,112.349,112.695,112.253,112.370,1,0.550,Ema,10,-1,0,
CHFJPY,2020-01-30 00:00:00,111.938,112.383,111.899,112.348,1,0.585,Ema,10,-1,0,
CHFJPY,2020-01-29 00:00:00,112.101,112.278,111.725,111.980,-1,0.578,Ema,10,-1,0,
CHFJPY,2020-01-28 00:00:00,112.242,112.412,111.991,112.134,-1,0.590,Ema,10,-1,0,
CHFJPY,2020-01-27 00:00:00,112.134,112.562,112.077,112.247,1,0.622,Ema,10,-1,0,
CHFJPY,2020-01-24 00:00:00,112.919,113.081,112.426,112.426,-1,0.620,Ema,10,-1,0,
CHFJPY,2020-01-23 00:00:00,113.449,113.491,112.695,112.914,-1,0.655,Ema,10,-1,1,
CHFJPY,2020-01-22 00:00:00,113.296,113.520,113.019,113.442,1,0.662,Ema,10,1,0,
CHFJPY,2020-01-21 00:00:00,113.713,113.885,113.305,113.305,-1,0.692,Ema,10,1,0,
AUDCAD,2020-04-13 00:00:00,0.88328,0.89108,0.88284,0.88684,1,0.01518,Sma,7,1,0,
AUDCAD,2020-04-10 00:00:00,0.88556,0.88847,0.88239,0.88535,-1,0.01610,Sma,7,1,0,
AUDCAD,2020-04-09 00:00:00,0.87265,0.88767,0.87047,0.88560,1,0.01729,Sma,7,1,0,
AUDCAD,2020-04-08 00:00:00,0.86299,0.87648,0.85927,0.87265,1,0.01833,Sma,7,1,0,
AUDCAD,2020-04-07 00:00:00,0.85871,0.86919,0.85712,0.86299,1,0.02104,Sma,7,1,1,
AUDCAD,2020-04-06 00:00:00,0.85486,0.86240,0.85146,0.85871,1,0.02189,Sma,7,-1,0,
AUDCAD,2020-04-03 00:00:00,0.85577,0.86077,0.84685,0.85066,-1,0.02208,Sma,7,-1,0,
AUDCAD,2020-04-02 00:00:00,0.86061,0.86376,0.85234,0.85592,-1,0.02285,Sma,7,-1,1,
AUDCAD,2020-04-01 00:00:00,0.86123,0.87638,0.85695,0.86061,-1,0.02414,Sma,7,1,0,
AUDCAD,2020-03-31 00:00:00,0.87340,0.88050,0.86106,0.86123,-1,0.02479,Sma,7,1,0,
AUDCAD,2020-03-30 00:00:00,0.86262,0.87436,0.85968,0.87340,1,0.02409,Sma,7,1,0,
AUDCAD,2020-03-27 00:00:00,0.84951,0.86606,0.84686,0.86091,1,0.02400,Sma,7,1,0,
AUDCAD,2020-03-26 00:00:00,0.84556,0.85440,0.83646,0.84951,1,0.02543,Sma,7,1,0,
AUDCAD,2020-03-25 00:00:00,0.86117,0.86876,0.84488,0.84556,-1,0.02486,Sma,7,1,0,
AUDCAD,2020-03-24 00:00:00,0.84525,0.86350,0.84231,0.86117,1,0.02360,Sma,7,1,0,
AUDCAD,2020-03-23 00:00:00,0.83298,0.84633,0.82360,0.84525,1,0.02264,Sma,7,1,1,
AUDCAD,2020-03-20 00:00:00,0.83321,0.85453,0.82275,0.83254,-1,0.02228,Sma,7,-1,0,
AUDCAD,2020-03-19 00:00:00,0.83633,0.86112,0.80593,0.83323,-1,0.02061,Sma,7,-1,0,
AUDCAD,2020-03-18 00:00:00,0.85167,0.85580,0.83186,0.83633,-1,0.01794,Sma,7,-1,0,
AUDCAD,2020-03-17 00:00:00,0.85630,0.85845,0.84401,0.85167,-1,0.01690,Sma,7,-1,0,
AUDCAD,2020-03-16 00:00:00,0.85283,0.86761,0.84295,0.85630,1,0.01631,Sma,7,-1,0,
AUDCAD,2020-03-13 00:00:00,0.86753,0.88092,0.85145,0.85493,-1,0.01492,Sma,7,-1,0,
AUDCAD,2020-03-12 00:00:00,0.89254,0.89415,0.86564,0.86753,-1,0.01328,Sma,7,-1,1,
